すみません,すみません,すみません,sumimasen,"sorry, excuse me",[sound:word_sumimasen.mp3],,,,,,,,,often pronounced すいません,0,Kaishi_word
はじめまして,はじめまして,はじめまして,hajimemashite,nice to meet you (for the first time),[sound:word_hajimemashite.mp3],,,,,,,,,,1,
何,なに・なん,何[なに]・ 何[なん],nani・nan,what,[sound:word_nani  nan.mp3],<b>何</b>する？,<b>何[なに]</b>する？ ,What will you do?,[sound:sentence_nani nan.mp3],,,,,the correct reading of the kanji depends on the grammar of the sentence,2,Kaishi_word
する,する,する,suru,"do, make",[sound:word_suru.mp3],何<b>する</b>？,何[なに]<b>する</b>？ ,What will you do?,[sound:sentence_nani nan.mp3],,,,,,3,Kaishi_word
そう,そう,そう,sou,"so, that's right, indeed",[sound:word_sou.mp3],<b>そう</b>なんですか？,<b>そう</b>なんですか？,Is that so?,[sound:sentence_sou.mp3],,,,,です means 'is' and it makes the sentence polite/formal (keigo). The informal equivalent is the particle だ ,4,Kaishi_word
はい,はい,はい,hai,yes (polite),[sound:word_hai.mp3],<b>はい</b>。そうです。,<b>はい</b>。 そうです。 ,"Yes, that's right.",[sound:sentence_hai.mp3],,,,,です means 'is' and it makes the sentence polite/formal (keigo). The informal equivalent is the particle だ ,5,Kaishi_word
ありがとう,ありがとう,ありがとう,arigatou,thank you,[sound:word_arigatou.mp3],はい、<b>ありがとう</b>ございます。,はい、<b>ありがとう</b>ございます。 ,"Yes, thank you very much.",[sound:sentence_arigatou.mp3],,,,,ございます is an extra polite form of ある making the sentence more formal/polite,6,Kaishi_word
これ,これ,これ,kore,this (near the speaker),[sound:word_kore.mp3],<b>これ</b>は何？,<b>これ</b>は 何[なに]？ ,What's this?,[sound:sentence_kore.mp3],,,,,"In contrast to この, これ can’t attach to a noun and is a self-standing pronoun",7,Kaishi_word
それ,それ,それ,sore,that (near the listener),[sound:word_sore.mp3],何<b>それ</b>！？,何[なに]<b>それ</b>！ ？ ,What is that?! (What is that supposed to mean?!),[sound:sentence_sore.mp3],,,,,"In contrast to その, それ can’t attach to a noun and is a self-standing pronoun",8,Kaishi_word
なんで,なんで,なんで,nande,"why, what for (casual)",[sound:word_nande.mp3],<b>なんで</b>ですか？,<b>なんで</b>ですか？ ,Why is that?,[sound:sentence_nande.mp3],,,,,,9,Kaishi_word
でも,でも,でも,demo,but,[sound:word_demo.mp3],うん。<b>でも</b>、なんで？,うん。<b>でも</b>、 なんで ？,"Yeah, but why?",[sound:sentence_demo.mp3],,,,,,10,
うん,うん,うん,un,"yes, yeah (informal)",[sound:word_un.mp3],<b>うん</b>。でも、なんで？,<b>うん</b>。 でも、 なんで？,"Yeah, but why?",[sound:sentence_demo.mp3],,,,,,11,
どう,どう,どう,dō,"how, what",[sound:word_dou.mp3],<b>どう</b>しよう？,<b>どう</b>しよう？,What do I do?,[sound:sentence_dou.mp3],,,,,しよう = volitional form of する. The sentence is like wondering out loud 'what should I do?' (e.g. in a difficult situation),12,Kaishi_word
次,つぎ,次[つぎ],tsugi,"next, subsequent",[sound:word_tsugi.mp3],<b>次</b>はどうする？,<b>次[つぎ]</b>はどうする？ ,What should we do next?,[sound:sentence_tsugi.mp3],,,,,,12.2,Kaishi_word
