C9Wh2qJLeJ,Manabi,Manabi,すみません,すみません,すみません,sumimasen,"sorry, excuse me",[sound:word_sumimasen.mp3],,,,,,,,,often pronounced すいません,0,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""155.25px"" height=""56.25px"" viewBox=""0 0 207 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">す</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">み</text><text x=""75"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">ま</text><text x=""110"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">せ</text><text x=""145"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">ん</text><path d=""m 16,30 35,-25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 51,5 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 86,5 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 121,5 35,25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 156,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><circle r=""5"" cx=""16"" cy=""30"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""51"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""86"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""121"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""156"" cy=""30"" style=""opacity:1;fill:currentColor;""></circle><circle r=""4"" cx=""191"" cy=""30"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;""></circle></svg>",4,,,Kaishi_word
pT:D:v@ow$,Manabi,Manabi,はじめまして,はじめまして,はじめまして,hajimemashite,nice to meet you (for the first time),[sound:word_hajimemashite.mp3],,,,,,,,,The hollow circle in the pitch-accent graph indicates the pitch of the particle that follows the word within a sentence.,1,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""181.50px"" height=""56.25px"" viewBox=""0 0 242 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">は</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">じ</text><text x=""75"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">め</text><text x=""110"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">ま</text><text x=""145"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">し</text><text x=""180"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">て</text><path d=""m 16,30 35,-25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 51,5 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 86,5 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 121,5 35,25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 156,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 191,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><circle r=""5"" cx=""16"" cy=""30"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""51"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""86"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""121"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""156"" cy=""30"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""191"" cy=""30"" style=""opacity:1;fill:currentColor;""></circle><circle r=""4"" cx=""226"" cy=""30"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;""></circle></svg>",4,,,
Hcm<j{lq:5,Manabi,Manabi,何,なに・なん,何[なに]・ 何[なん],nani・nan,what,[sound:word_nani  nan.mp3],<b>何</b>する？,<b>何[なに]</b>する？ ,What will you do?,[sound:sentence_nani nan.mp3],,,,,the correct reading of the kanji depends on the grammar of the sentence,2,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""76.50px"" height=""56.25px"" viewBox=""0 0 102 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">な</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">に</text><path d=""m 16,5 35,25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 51,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><circle r=""5"" cx=""16"" cy=""5"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""51"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""4"" cx=""86"" cy=""30"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;"" /></svg>&nbsp;&nbsp;&nbsp;&nbsp;<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""76.50px"" height=""56.25px"" viewBox=""0 0 102 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">な</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">ん</text><path d=""m 16,5 35,25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 51,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><circle r=""5"" cx=""16"" cy=""5"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""51"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""4"" cx=""86"" cy=""30"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;"" /></svg>",1,,,Kaishi_word
Au{/@1Pg%Q,Manabi,Manabi,する,する,する,suru,"do, make",[sound:word_suru.mp3],何<b>する</b>？,何[なに]<b>する</b>？ ,What will you do?,[sound:sentence_nani nan.mp3],,,,,,3,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""76.50px"" height=""56.25px"" viewBox=""0 0 102 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">す</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">る</text><path d=""m 16,30 35,-25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 51,5 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><circle r=""5"" cx=""16"" cy=""30"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""51"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""4"" cx=""86"" cy=""5"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;""></circle></svg>",0,,,Kaishi_word
j]c$8A.[:6,Manabi,Manabi,そう,そう,そう,sou,"so, that's right, indeed",[sound:word_sou.mp3],<b>そう</b>なんですか？,<b>そう</b>なんですか？,Is that so?,[sound:sentence_sou.mp3],,,,,です means &#x27;is&#x27; and it makes the sentence polite/formal (keigo). The informal equivalent is the particle だ ,4,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""76.50px"" height=""56.25px"" viewBox=""0 0 102 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">そ</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">う</text><path d=""m 16,5 35,25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 51,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><circle r=""5"" cx=""16"" cy=""5"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""51"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""4"" cx=""86"" cy=""30"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;"" /></svg>",1,,,Kaishi_word
Pk=Bx_Y9r],Manabi,Manabi,はい,はい,はい,hai,yes (polite),[sound:word_hai.mp3],<b>はい</b>。そうです。,<b>はい</b>。 そうです。 ,"Yes, that's right.",[sound:sentence_hai.mp3],,,,,です means &#x27;is&#x27; and it makes the sentence polite/formal (keigo). The informal equivalent is the particle だ ,5,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""76.50px"" height=""56.25px"" viewBox=""0 0 102 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">は</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">い</text><path d=""m 16,5 35,25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 51,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><circle r=""5"" cx=""16"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""51"" cy=""30"" style=""opacity:1;fill:currentColor;""></circle><circle r=""4"" cx=""86"" cy=""30"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;""></circle></svg>",1,,,Kaishi_word
nys_.l#mYv,Manabi,Manabi,ありがとう,ありがとう,ありがとう,arigatou,thank you,[sound:word_arigatou.mp3],はい、<b>ありがとう</b>ございます。,はい、<b>ありがとう</b>ございます。 ,"Yes, thank you very much.",[sound:sentence_arigatou.mp3],,,,,ございます is an extra polite form of ある making the sentence more formal/polite,6,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""155.25px"" height=""56.25px"" viewBox=""0 0 207 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">あ</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">り</text><text x=""75"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">が</text><text x=""110"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">と</text><text x=""145"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">う</text><path d=""m 16,30 35,-25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 51,5 35,25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 86,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 121,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 156,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><circle r=""5"" cx=""16"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""51"" cy=""5"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""86"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""121"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""156"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""4"" cx=""191"" cy=""30"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;"" /></svg>",2,,,Kaishi_word
vnjoU)e-8_,Manabi,Manabi,これ,これ,これ,kore,this (near the speaker),[sound:word_kore.mp3],<b>これ</b>は何？,<b>これ</b>は 何[なに]？ ,What's this?,[sound:sentence_kore.mp3],,,,,"In contrast to この, これ can’t attach to a noun and is a self-standing pronoun",7,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""76.50px"" height=""56.25px"" viewBox=""0 0 102 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">こ</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">れ</text><path d=""m 16,30 35,-25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 51,5 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><circle r=""5"" cx=""16"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""51"" cy=""5"" style=""opacity:1;fill:currentColor;"" /><circle r=""4"" cx=""86"" cy=""5"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;"" /></svg>",0,,,Kaishi_word
lJ;:[V^Yyy,Manabi,Manabi,それ,それ,それ,sore,that (near the listener),[sound:word_sore.mp3],何<b>それ</b>！？,何[なに]<b>それ</b>！ ？ ,What is that?! (What is that supposed to mean?!),[sound:sentence_sore.mp3],,,,,"In contrast to その, それ can’t attach to a noun and is a self-standing pronoun",8,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""76.50px"" height=""56.25px"" viewBox=""0 0 102 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">そ</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">れ</text><path d=""m 16,30 35,-25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><path d=""m 51,5 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;""></path><circle r=""5"" cx=""16"" cy=""30"" style=""opacity:1;fill:currentColor;""></circle><circle r=""5"" cx=""51"" cy=""5"" style=""opacity:1;fill:currentColor;""></circle><circle r=""4"" cx=""86"" cy=""5"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;""></circle></svg>",0,,,Kaishi_word
f936=EfE5T,Manabi,Manabi,なんで,なんで,なんで,nande,"why, what for (casual)",[sound:word_nande.mp3],<b>なんで</b>ですか？,<b>なんで</b>ですか？ ,Why is that?,[sound:sentence_nande.mp3],,,,,,9,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""pitch"" width=""102.75px"" height=""56.25px"" viewBox=""0 0 137 75""><text x=""5"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">な</text><text x=""40"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">ん</text><text x=""75"" y=""67.5"" style=""font-size:20px;font-family:sans-serif;fill:currentColor;"">で</text><path d=""m 16,5 35,25"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 51,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><path d=""m 86,30 35,0"" style=""fill:none;stroke:currentColor;stroke-width:1.5;"" /><circle r=""5"" cx=""16"" cy=""5"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""51"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""5"" cx=""86"" cy=""30"" style=""opacity:1;fill:currentColor;"" /><circle r=""4"" cx=""121"" cy=""30"" style=""opacity:1;fill:none;stroke:currentColor;stroke-width:1.75;"" /></svg>",1,,,Kaishi_word
